ServiceID,DelayType,CauseCategory,MinutesLate
S2409090035,REACTIONARY,FLEET,7
S2411140043,PRIMARY,OPERATIONS,1
S2411140043,REACTIONARY,SIGNAL,1
S2506280052,PRIMARY,TRACK,10
S2506280052,REACTIONARY,OPERATIONS,13
S2406020050,PRIMARY,WEATHER,10
S2406020050,REACTIONARY,TRACK,12
S2504300129,PRIMARY,SIGNAL,7
S2502150023,PRIMARY,OLE,5
S2412220049,PRIMARY,FLEET,10
S2502080053,PRIMARY,FLEET,7
S2410160048,PRIMARY,TRACK,11
S2501170077,PRIMARY,WEATHER,3
S2501170077,REACTIONARY,TRACK,6
S2408180054,PRIMARY,TRACK,1
S2408180054,REACTIONARY,POWER,1
S2411260067,PRIMARY,OPERATIONS,13
S2503170064,PRIMARY,OPERATIONS,6
S2506120026,PRIMARY,FLEET,8
S2506120026,REACTIONARY,SIGNAL,13
S2506190035,PRIMARY,FLEET,3
S2506190035,REACTIONARY,WEATHER,9
S2503260058,PRIMARY,OPERATIONS,13
S2503260058,REACTIONARY,SIGNAL,14
S2501210038,PRIMARY,SIGNAL,8
S2501210038,REACTIONARY,SIGNAL,1
S2501140045,PRIMARY,FLEET,12
S2501140045,REACTIONARY,OPERATIONS,10
S2504300086,PRIMARY,SIGNAL,1
S2502130013,PRIMARY,OPERATIONS,9
S2504150014,PRIMARY,TRACK,7
S2504150014,REACTIONARY,TRACK,1
S2506100041,PRIMARY,EXTERNAL,2
S2503220004,PRIMARY,OLE,5
S2503220004,REACTIONARY,SIGNAL,7
S2504190044,PRIMARY,FLEET,11
S2407260040,PRIMARY,OLE,11
S2407260040,REACTIONARY,OLE,8
S2501180089,PRIMARY,OLE,9
S2501180089,REACTIONARY,TRACK,7
S2506080050,PRIMARY,OLE,14
S2506080050,REACTIONARY,FLEET,1
S2506300011,PRIMARY,POWER,12
S2506300011,REACTIONARY,OPERATIONS,1
S2505080011,PRIMARY,TRACK,1
S2503270089,PRIMARY,OPERATIONS,9
S2503270089,REACTIONARY,SIGNAL,1
S2505300045,PRIMARY,FLEET,18
S2505300045,REACTIONARY,WEATHER,6
S2505220010,PRIMARY,EXTERNAL,13
S2505220010,REACTIONARY,TRACK,4
S2410050025,PRIMARY,FLEET,7
S2503040078,PRIMARY,SIGNAL,4
S2503040078,REACTIONARY,SIGNAL,7
S2410030051,PRIMARY,FLEET,16
S2410030051,REACTIONARY,SIGNAL,3
S2409170018,PRIMARY,SIGNAL,11
S2409170018,REACTIONARY,OPERATIONS,5
S2504010073,PRIMARY,SIGNAL,6
S2505040029,PRIMARY,OPERATIONS,6
S2503130101,PRIMARY,WEATHER,1
S2505110105,PRIMARY,FLEET,18
S2407020056,PRIMARY,TRACK,9
S2411140030,PRIMARY,WEATHER,20
S2411140030,REACTIONARY,POWER,2
S2412240011,PRIMARY,EXTERNAL,9
S2412240011,REACTIONARY,OLE,5
S2410170047,PRIMARY,FLEET,1
S2502200017,PRIMARY,OLE,1
S2406150023,PRIMARY,SIGNAL,2
S2501070045,PRIMARY,OPERATIONS,10
S2501070045,REACTIONARY,POWER,3
S2503220025,PRIMARY,FLEET,23
S2503220025,REACTIONARY,EXTERNAL,11
S2408310018,PRIMARY,SIGNAL,14
S2412160047,PRIMARY,OPERATIONS,1
S2506130017,PRIMARY,TRACK,4
S2506130017,REACTIONARY,OLE,3
S2506250055,PRIMARY,OLE,10
S2506250055,REACTIONARY,OPERATIONS,2
S2504290093,PRIMARY,TRACK,14
S2406290071,PRIMARY,SIGNAL,9
S2406290071,REACTIONARY,EXTERNAL,1
S2504110020,PRIMARY,FLEET,4
S2504290095,PRIMARY,TRACK,1
S2406020065,PRIMARY,SIGNAL,7
S2504140100,PRIMARY,FLEET,1
S2504140100,REACTIONARY,SIGNAL,1
S2410080100,PRIMARY,OPERATIONS,8
S2410080100,REACTIONARY,OPERATIONS,6
S2502170026,PRIMARY,OPERATIONS,18
S2502170026,REACTIONARY,OLE,11
S2408250013,PRIMARY,SIGNAL,7
S2408250013,REACTIONARY,EXTERNAL,1
S2412130041,PRIMARY,OLE,16
S2412130041,REACTIONARY,EXTERNAL,8
S2410210040,PRIMARY,OPERATIONS,1
S2410210040,REACTIONARY,POWER,7
S2408020071,PRIMARY,TRACK,3
S2501180051,PRIMARY,OPERATIONS,19
S2501180051,REACTIONARY,TRACK,6
S2504120048,PRIMARY,SIGNAL,5
S2504120048,REACTIONARY,WEATHER,5
S2412030056,PRIMARY,OLE,7
S2504080031,PRIMARY,OPERATIONS,3
S2501100035,PRIMARY,FLEET,8
S2411170006,PRIMARY,OPERATIONS,10
S2410060044,PRIMARY,OPERATIONS,5
S2410060044,REACTIONARY,SIGNAL,2
S2501130042,PRIMARY,OPERATIONS,9
S2501130042,REACTIONARY,SIGNAL,4
S2412160033,PRIMARY,FLEET,7
S2412160033,REACTIONARY,OPERATIONS,9
S2408070014,PRIMARY,TRACK,11
S2505270053,PRIMARY,FLEET,5
S2505270053,REACTIONARY,OPERATIONS,3
S2411060052,PRIMARY,SIGNAL,11
S2411060052,REACTIONARY,EXTERNAL,10
S2504170027,PRIMARY,TRACK,9
S2410040043,PRIMARY,OPERATIONS,1
S2506270020,PRIMARY,FLEET,1
S2506270020,REACTIONARY,EXTERNAL,2
S2505190071,PRIMARY,FLEET,8
S2505190071,REACTIONARY,EXTERNAL,2
S2505270020,PRIMARY,FLEET,1
S2505270020,REACTIONARY,TRACK,3
S2504260003,PRIMARY,FLEET,20
S2406170031,PRIMARY,SIGNAL,4
S2503030019,PRIMARY,SIGNAL,13
S2503030019,REACTIONARY,SIGNAL,4
S2406200075,PRIMARY,OLE,11
S2406200075,REACTIONARY,SIGNAL,5
S2410010033,PRIMARY,TRACK,8
S2410010033,REACTIONARY,OPERATIONS,1
S2505090060,PRIMARY,OPERATIONS,1
S2505090060,REACTIONARY,OPERATIONS,8
S2411060010,PRIMARY,FLEET,3
S2409070012,PRIMARY,WEATHER,21
S2409070012,REACTIONARY,SIGNAL,9
S2503130084,PRIMARY,OPERATIONS,1
S2412280048,PRIMARY,OPERATIONS,7
S2411090038,PRIMARY,OPERATIONS,6
S2502080065,PRIMARY,OLE,4
S2502080065,REACTIONARY,WEATHER,6
S2504160076,PRIMARY,TRACK,3
S2504160076,REACTIONARY,FLEET,1
S2411240046,PRIMARY,FLEET,8
S2411240046,REACTIONARY,OLE,7
S2410260043,PRIMARY,POWER,12
S2409270074,PRIMARY,TRACK,3
S2407310064,PRIMARY,SIGNAL,10
S2504290025,PRIMARY,SIGNAL,5
S2504290025,REACTIONARY,OPERATIONS,1
S2501020005,PRIMARY,FLEET,1
S2502270012,PRIMARY,SIGNAL,18
S2501170064,PRIMARY,TRACK,6
S2503010073,PRIMARY,OPERATIONS,7
S2412020010,PRIMARY,SIGNAL,8
S2412020010,REACTIONARY,POWER,10
S2501130082,PRIMARY,EXTERNAL,10
S2501070090,PRIMARY,SIGNAL,9
S2504300001,PRIMARY,FLEET,1
S2504300001,REACTIONARY,TRACK,6
S2408210004,PRIMARY,OPERATIONS,10
S2505110059,PRIMARY,TRACK,6
S2505020068,PRIMARY,FLEET,8
S2411060038,PRIMARY,EXTERNAL,7
S2411230033,PRIMARY,POWER,6
S2506170065,PRIMARY,OPERATIONS,7
S2411220039,PRIMARY,TRACK,17
S2411220039,REACTIONARY,OPERATIONS,15
S2506130020,PRIMARY,POWER,15
S2409240035,PRIMARY,SIGNAL,7
S2409240035,REACTIONARY,FLEET,10
S2503130082,PRIMARY,POWER,9
S2503130082,REACTIONARY,OPERATIONS,1
S2501140056,PRIMARY,OPERATIONS,16
S2505200054,PRIMARY,FLEET,14
S2505200054,REACTIONARY,WEATHER,5
S2409010000,PRIMARY,SIGNAL,24
S2409010000,REACTIONARY,SIGNAL,8
S2412010068,PRIMARY,FLEET,7
S2411290095,PRIMARY,TRACK,14
S2406240057,PRIMARY,SIGNAL,11
S2406240057,REACTIONARY,POWER,12
S2410210057,PRIMARY,TRACK,13
S2410210057,REACTIONARY,POWER,1
S2412080034,PRIMARY,EXTERNAL,23
S2410200062,PRIMARY,WEATHER,4
S2406140015,PRIMARY,FLEET,15
S2502230000,PRIMARY,OPERATIONS,10
S2502230000,REACTIONARY,FLEET,3
S2504080012,PRIMARY,FLEET,3
S2502010046,PRIMARY,OPERATIONS,11
S2501220025,PRIMARY,SIGNAL,3
S2410020003,PRIMARY,POWER,1
S2406130067,PRIMARY,SIGNAL,16
S2504010040,PRIMARY,TRACK,1
S2504010040,REACTIONARY,FLEET,7
S2407020065,PRIMARY,OPERATIONS,14
S2407020065,REACTIONARY,SIGNAL,1
S2503160039,PRIMARY,TRACK,14
S2503290041,PRIMARY,OPERATIONS,7
S2502160062,PRIMARY,TRACK,1
S2504230026,PRIMARY,SIGNAL,2
S2504230026,REACTIONARY,OPERATIONS,6
S2411090036,PRIMARY,TRACK,1
S2411090036,REACTIONARY,TRACK,1
S2411290020,PRIMARY,SIGNAL,15
S2411290020,REACTIONARY,FLEET,3
S2408310034,PRIMARY,SIGNAL,5
S2411040010,PRIMARY,FLEET,3
S2411040019,PRIMARY,SIGNAL,1
S2501170088,PRIMARY,OPERATIONS,3
S2409180049,PRIMARY,SIGNAL,13
S2504020049,PRIMARY,FLEET,7
S2504020049,REACTIONARY,SIGNAL,7
S2504040044,PRIMARY,TRACK,13
S2504040044,REACTIONARY,SIGNAL,10
S2409270072,PRIMARY,FLEET,9
S2504190032,PRIMARY,FLEET,1
S2411300032,PRIMARY,FLEET,6
S2503130095,PRIMARY,POWER,7
S2503130095,REACTIONARY,FLEET,6
S2407090073,PRIMARY,FLEET,16
S2406210037,PRIMARY,FLEET,18
S2410140054,PRIMARY,TRACK,9
S2503260040,PRIMARY,OPERATIONS,14
S2409060013,PRIMARY,SIGNAL,11
S2412300023,PRIMARY,SIGNAL,7
S2408280042,PRIMARY,SIGNAL,1
S2408280042,REACTIONARY,EXTERNAL,8
S2501170043,PRIMARY,OPERATIONS,6
S2411200064,PRIMARY,EXTERNAL,14
S2411200064,REACTIONARY,OLE,10
S2412090023,PRIMARY,WEATHER,11
S2505290035,PRIMARY,SIGNAL,6
S2408290030,PRIMARY,OPERATIONS,1
S2408290030,REACTIONARY,OLE,7
S2501310025,PRIMARY,FLEET,2
S2501310025,REACTIONARY,FLEET,7
S2406280016,PRIMARY,WEATHER,5
S2406280016,REACTIONARY,OLE,5
S2411160017,PRIMARY,EXTERNAL,7
S2409100051,PRIMARY,OPERATIONS,1
S2503010011,PRIMARY,OPERATIONS,3
S2406290043,PRIMARY,SIGNAL,3
S2407300037,PRIMARY,WEATHER,1
S2410260070,PRIMARY,OLE,7
S2410260070,REACTIONARY,WEATHER,7
S2411030051,PRIMARY,OPERATIONS,10
S2411030051,REACTIONARY,WEATHER,5
S2501280013,PRIMARY,OPERATIONS,1
S2406230048,PRIMARY,TRACK,1
S2506210039,PRIMARY,SIGNAL,15
S2406030048,PRIMARY,TRACK,15
S2406030048,REACTIONARY,WEATHER,8
S2504200074,PRIMARY,OPERATIONS,3
S2407040013,PRIMARY,FLEET,2
S2501170058,PRIMARY,SIGNAL,6
S2501170058,REACTIONARY,OLE,9
S2501270092,PRIMARY,SIGNAL,8
S2501270092,REACTIONARY,WEATHER,8
S2504080026,PRIMARY,TRACK,1
S2412130014,PRIMARY,TRACK,2
S2412130014,REACTIONARY,FLEET,1
S2410150000,PRIMARY,OLE,2
S2410150000,REACTIONARY,SIGNAL,15
S2505240065,PRIMARY,OLE,5
S2503230010,PRIMARY,FLEET,1
S2503230010,REACTIONARY,SIGNAL,12
S2410050029,PRIMARY,FLEET,3
S2501190010,PRIMARY,OPERATIONS,11
S2409230055,PRIMARY,SIGNAL,12
S2408280059,PRIMARY,OPERATIONS,9
S2408280059,REACTIONARY,FLEET,11
S2412190025,PRIMARY,SIGNAL,13
S2504040014,PRIMARY,FLEET,14
S2504040014,REACTIONARY,OLE,3
S2409180024,PRIMARY,OPERATIONS,6
S2409180024,REACTIONARY,FLEET,6
S2503180033,PRIMARY,OPERATIONS,5
S2503180033,REACTIONARY,FLEET,6
S2407170008,PRIMARY,SIGNAL,14
S2407260007,PRIMARY,OLE,8
S2410200013,PRIMARY,TRACK,1
S2410200013,REACTIONARY,EXTERNAL,3
S2505300041,PRIMARY,WEATHER,11
S2505300041,REACTIONARY,WEATHER,8
S2412080039,PRIMARY,OPERATIONS,13
S2412080039,REACTIONARY,TRACK,8
S2408290018,PRIMARY,SIGNAL,16
S2408290018,REACTIONARY,EXTERNAL,3
S2409210010,PRIMARY,EXTERNAL,3
S2412280066,PRIMARY,OPERATIONS,1
S2408240063,PRIMARY,FLEET,11
S2409080009,PRIMARY,TRACK,2
S2408210012,PRIMARY,WEATHER,7
S2408210012,REACTIONARY,WEATHER,1
S2412020058,PRIMARY,OPERATIONS,10
S2412020058,REACTIONARY,OPERATIONS,5
S2505280011,PRIMARY,OPERATIONS,10
S2505280011,REACTIONARY,TRACK,7
S2408240030,PRIMARY,OPERATIONS,7
S2408240030,REACTIONARY,TRACK,2
S2505090033,PRIMARY,TRACK,1
S2505090033,REACTIONARY,EXTERNAL,1
S2406220020,PRIMARY,FLEET,13
S2407020089,PRIMARY,FLEET,1
S2505260059,PRIMARY,POWER,8
S2506220089,PRIMARY,TRACK,13
S2506100019,PRIMARY,TRACK,2
S2506100019,REACTIONARY,EXTERNAL,1
S2407150075,PRIMARY,EXTERNAL,1
S2407150075,REACTIONARY,POWER,3
S2410060015,PRIMARY,SIGNAL,7
S2410060015,REACTIONARY,TRACK,7
S2408200046,PRIMARY,OLE,16
S2505050031,PRIMARY,WEATHER,1
S2505050031,REACTIONARY,TRACK,1
S2409160073,PRIMARY,SIGNAL,9
S2409160073,REACTIONARY,FLEET,4
S2501280022,PRIMARY,OPERATIONS,1
S2503300068,PRIMARY,OPERATIONS,3
S2504170024,PRIMARY,FLEET,15
S2504170024,REACTIONARY,WEATHER,10
S2410060035,PRIMARY,EXTERNAL,10
S2410060035,REACTIONARY,POWER,1
S2410060053,PRIMARY,POWER,2
S2504290089,PRIMARY,OPERATIONS,8
S2408040015,PRIMARY,OPERATIONS,13
S2504190013,PRIMARY,TRACK,4
S2407050108,PRIMARY,OPERATIONS,15
S2407050108,REACTIONARY,POWER,14
S2503050038,PRIMARY,FLEET,5
S2407190066,PRIMARY,OPERATIONS,14
S2506210048,PRIMARY,TRACK,13
S2506210048,REACTIONARY,TRACK,4
S2409060081,PRIMARY,EXTERNAL,18
S2409060081,REACTIONARY,OLE,1
S2501020076,PRIMARY,OPERATIONS,2
S2502270011,PRIMARY,FLEET,3
S2502270011,REACTIONARY,SIGNAL,13
S2408030020,PRIMARY,FLEET,1
S2408270114,PRIMARY,OPERATIONS,1
S2506010080,PRIMARY,SIGNAL,6
S2506010080,REACTIONARY,FLEET,8
S2411140056,PRIMARY,SIGNAL,9
S2408080001,PRIMARY,FLEET,10
S2408080001,REACTIONARY,OPERATIONS,12
S2505310020,PRIMARY,SIGNAL,11
S2410290009,PRIMARY,SIGNAL,7
S2410290009,REACTIONARY,WEATHER,11
S2411020024,PRIMARY,SIGNAL,14
S2407230028,PRIMARY,TRACK,13
S2506290042,PRIMARY,SIGNAL,5
S2504150063,PRIMARY,TRACK,1
S2504150063,REACTIONARY,OPERATIONS,1
S2501130098,PRIMARY,SIGNAL,5
S2501130098,REACTIONARY,TRACK,7
S2411300067,PRIMARY,WEATHER,17
S2501170044,PRIMARY,EXTERNAL,6
S2409220011,PRIMARY,OLE,13
S2409220011,REACTIONARY,FLEET,6
S2506100035,PRIMARY,OPERATIONS,9
S2412060040,PRIMARY,FLEET,3
S2506070046,PRIMARY,OPERATIONS,1
S2411220008,PRIMARY,TRACK,8
S2406220034,PRIMARY,OPERATIONS,6
S2406220034,REACTIONARY,WEATHER,1
S2412150040,PRIMARY,TRACK,13
S2409010015,PRIMARY,SIGNAL,5
S2407180004,PRIMARY,SIGNAL,1
S2407180004,REACTIONARY,FLEET,1
S2503150054,PRIMARY,FLEET,1
S2503150054,REACTIONARY,WEATHER,9
S2502250011,PRIMARY,WEATHER,11
S2502250011,REACTIONARY,WEATHER,1
S2411300066,PRIMARY,OLE,1
S2503290076,PRIMARY,POWER,7
S2412240070,PRIMARY,FLEET,9
S2412240070,REACTIONARY,OLE,10
S2501220048,PRIMARY,FLEET,6
S2501220048,REACTIONARY,OPERATIONS,8
S2412050053,PRIMARY,SIGNAL,16
S2503180036,PRIMARY,SIGNAL,14
S2408080011,PRIMARY,FLEET,23
S2408080011,REACTIONARY,OLE,4
S2411010028,PRIMARY,SIGNAL,11
S2411010028,REACTIONARY,FLEET,1
S2506010066,PRIMARY,OPERATIONS,1
S2506010066,REACTIONARY,FLEET,1
S2506150063,PRIMARY,EXTERNAL,2
S2506150063,REACTIONARY,WEATHER,1
S2505190052,PRIMARY,OPERATIONS,1
S2506180001,PRIMARY,FLEET,16
S2506180001,REACTIONARY,SIGNAL,1
S2409200049,PRIMARY,TRACK,14
S2409200049,REACTIONARY,WEATHER,3
S2406280071,PRIMARY,TRACK,17
S2506080011,PRIMARY,OPERATIONS,8
S2407270052,PRIMARY,FLEET,1
S2503130020,PRIMARY,FLEET,11
S2504130036,PRIMARY,SIGNAL,3
S2408310050,PRIMARY,SIGNAL,7
S2408310050,REACTIONARY,WEATHER,1
S2504210042,PRIMARY,OPERATIONS,7
S2504210042,REACTIONARY,OLE,8
S2409140092,PRIMARY,WEATHER,9
S2409140092,REACTIONARY,FLEET,4
S2412230012,PRIMARY,TRACK,5
S2412230012,REACTIONARY,SIGNAL,1
S2412190033,PRIMARY,SIGNAL,10
S2412230098,PRIMARY,TRACK,5
S2412230098,REACTIONARY,OPERATIONS,7
S2505150014,PRIMARY,SIGNAL,7
S2502020097,PRIMARY,OPERATIONS,4
S2506300029,PRIMARY,FLEET,5
S2506300029,REACTIONARY,TRACK,1
S2505010037,PRIMARY,WEATHER,8
S2412080010,PRIMARY,SIGNAL,15
S2504130079,PRIMARY,TRACK,7
S2504130079,REACTIONARY,WEATHER,6
S2501190060,PRIMARY,TRACK,10
S2503040040,PRIMARY,OLE,1
S2503040040,REACTIONARY,SIGNAL,1
S2408010053,PRIMARY,SIGNAL,15
S2408010053,REACTIONARY,POWER,12
S2407220000,PRIMARY,SIGNAL,12
S2407220000,REACTIONARY,OPERATIONS,8
S2408110020,PRIMARY,FLEET,6
S2505060003,PRIMARY,POWER,1
S2505060003,REACTIONARY,FLEET,1
S2409280056,PRIMARY,TRACK,1
S2407200084,PRIMARY,FLEET,5
S2506250030,PRIMARY,FLEET,10
S2411020070,PRIMARY,FLEET,7
S2411020070,REACTIONARY,POWER,1
S2503260049,PRIMARY,FLEET,9
S2506130026,PRIMARY,SIGNAL,3
S2505010036,PRIMARY,SIGNAL,17
S2410180072,PRIMARY,OLE,17
S2503030014,PRIMARY,POWER,14
S2502150022,PRIMARY,TRACK,4
S2506210016,PRIMARY,OPERATIONS,6
S2506210016,REACTIONARY,EXTERNAL,6
S2505190073,PRIMARY,POWER,1
S2503250078,PRIMARY,OPERATIONS,10
S2503250097,PRIMARY,SIGNAL,6
S2505120095,PRIMARY,TRACK,7
S2505120095,REACTIONARY,SIGNAL,1
S2504050021,PRIMARY,FLEET,12
S2406170081,PRIMARY,TRACK,12
S2406170081,REACTIONARY,POWER,7
S2410060032,PRIMARY,WEATHER,1
S2410060032,REACTIONARY,OLE,1
S2411080057,PRIMARY,SIGNAL,1
S2407240028,PRIMARY,TRACK,9
S2407240028,REACTIONARY,FLEET,9
S2410280029,PRIMARY,FLEET,12
S2409150071,PRIMARY,FLEET,17
S2506280005,PRIMARY,TRACK,1
S2506280005,REACTIONARY,OLE,4
S2406200095,PRIMARY,SIGNAL,1
S2406200095,REACTIONARY,SIGNAL,10
S2410020034,PRIMARY,OLE,5
S2406190074,PRIMARY,FLEET,20
S2406190074,REACTIONARY,EXTERNAL,3
S2506080069,PRIMARY,OPERATIONS,3
S2506080069,REACTIONARY,POWER,2
S2502210013,PRIMARY,FLEET,2
S2409030010,PRIMARY,WEATHER,12
S2409030010,REACTIONARY,OLE,14
S2501120062,PRIMARY,OLE,10
S2501120062,REACTIONARY,OLE,2
S2505190045,PRIMARY,OPERATIONS,5
S2505190045,REACTIONARY,SIGNAL,4
S2503190029,PRIMARY,WEATHER,1
S2408010051,PRIMARY,SIGNAL,13
S2406150007,PRIMARY,FLEET,12
S2406150007,REACTIONARY,FLEET,9
S2505070080,PRIMARY,WEATHER,8
S2501150053,PRIMARY,EXTERNAL,9
S2501150053,REACTIONARY,WEATHER,6
S2501300006,PRIMARY,WEATHER,10
S2501300006,REACTIONARY,OPERATIONS,10
S2504140020,PRIMARY,WEATHER,1
S2504140020,REACTIONARY,OLE,4
S2411140012,PRIMARY,FLEET,18
S2506150016,PRIMARY,FLEET,15
S2506150016,REACTIONARY,FLEET,1
S2505040041,PRIMARY,FLEET,9
S2410280033,PRIMARY,FLEET,11
S2410280033,REACTIONARY,FLEET,2
S2406040029,PRIMARY,FLEET,17
S2412170002,PRIMARY,TRACK,1
S2412170002,REACTIONARY,OLE,5
S2506160058,PRIMARY,OPERATIONS,4
S2406100008,PRIMARY,TRACK,4
S2406100008,REACTIONARY,OLE,7
S2503160010,PRIMARY,FLEET,7
S2408230082,PRIMARY,FLEET,6
S2410120102,PRIMARY,POWER,14
S2406020055,PRIMARY,OPERATIONS,11
S2502070088,PRIMARY,OLE,4
